District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Value
Syangja,Gandaki,Hill,Western,2070/71,2013/14,Others,2
Kaski,Gandaki,Hill,Western,2070/71,2013/14,Stool Test,12660
Kaski,Gandaki,Hill,Western,2070/71,2013/14,Occult blood,1843
Kaski,Gandaki,Hill,Western,2070/71,2013/14,Reducing sugar,417
Kaski,Gandaki,Hill,Western,2070/71,2013/14,Urine test,34656
Kaski,Gandaki,Hill,Western,2070/71,2013/14,Bile salts,351
Kaski,Gandaki,Hill,Western,2070/71,2013/14,Bile Pigments,128
Kaski,Gandaki,Hill,Western,2070/71,2013/14,Urobili nogen,253
Kaski,Gandaki,Hill,Western,2070/71,2013/14,Porpho bilinogen,24
Kaski,Gandaki,Hill,Western,2070/71,2013/14,Acetone,675
Kaski,Gandaki,Hill,Western,2070/71,2013/14,Chyle,25
Kaski,Gandaki,Hill,Western,2070/71,2013/14,Semen Analysis,937
Kaski,Gandaki,Hill,Western,2070/71,2013/14,Bence John's Protein,95
Kaski,Gandaki,Hill,Western,2070/71,2013/14,Specific gravity,13649
Kaski,Gandaki,Hill,Western,2070/71,2013/14,Others,6
Manang,Gandaki,Mountain,Western,2070/71,2013/14,Stool Test,21
Manang,Gandaki,Mountain,Western,2070/71,2013/14,Occult blood,0
Manang,Gandaki,Mountain,Western,2070/71,2013/14,Reducing sugar,0
Manang,Gandaki,Mountain,Western,2070/71,2013/14,Urine test,52
Manang,Gandaki,Mountain,Western,2070/71,2013/14,Bile salts,0
Manang,Gandaki,Mountain,Western,2070/71,2013/14,Bile Pigments,0
Manang,Gandaki,Mountain,Western,2070/71,2013/14,Urobili nogen,0
Manang,Gandaki,Mountain,Western,2070/71,2013/14,Porpho bilinogen,0
Manang,Gandaki,Mountain,Western,2070/71,2013/14,Acetone,0
Manang,Gandaki,Mountain,Western,2070/71,2013/14,Chyle,0
Manang,Gandaki,Mountain,Western,2070/71,2013/14,Semen Analysis,0
Manang,Gandaki,Mountain,Western,2070/71,2013/14,Bence John's Protein,0
Manang,Gandaki,Mountain,Western,2070/71,2013/14,Specific gravity,0
Manang,Gandaki,Mountain,Western,2070/71,2013/14,Others,0
Mustang,Dhawalagiri,Mountain,Western,2070/71,2013/14,Stool Test,61
